rcn,code,title,language
702928,CE-BIOTEC-04-2018,New biotechnologies for environmental remediation (RIA),en
701881,CULT-COOP-01-2017,Democratic discourses and the rule of law,en
702866,LC-SFS-19-2018-2019,Climate-smart and resilient farming,en
702943,DT-ICT-01-2019,Smart Anything Everywhere,en
702844,CE-RUR-10-2019,Circular bio-based business models for rural communities,en
702843,INFRASUPP-01-2018-2019,Policy and international cooperation measures for research infrastructures,en
702891,DT-NMBP-12-2019,Sustainable Nano-Fabrication (CSA),en
702766,MSCA-ITN-2018,Innovative Training Networks,en
702793,ERC-2018-STG,ERC Starting Grant,en
702796,ERC-2018-PoC,ERC Proof of Concept Grant,en
702038,ICT-05-2017,Customised and low energy computing (including Low power processor technologies),en
701951,INFRADEV-01-2017,Design Studies,en
701987,SC1-PM-07-2017,Promoting mental health and well-being in the young,en
702225,IMI2-2016-09-03,DATA QUALITY IN PRECLINICAL RESEARCH AND DEVELOPMENT,en
701941,GV-10-2017,Demonstration (pilots) for integration of electrified L-category vehicles in the urban transport system,en
701950,MSCA-ITN-2017,Innovative Training Networks,en
702313,GV-13-2017,Production of next generation battery cells in Europe for transport applications,en
702028,SC1-PM-17-2017,Personalised computer models and in-silico systems for well-being,en
701898,ICT-31-2017,Micro- and nanoelectronics technologies,en
702026,SC1-PM-15-2017,Personalised coaching for well-being and care of people as they age,en
702302,SC1-HCO-17-2017,Support for large scale uptake of Digital Innovation for Active and Healthy Ageing,en
702309,NMBP-37-2017,Mapping a path to future supply chains,en
701833,SPIRE-07-2017,"Integrated approach to process optimisation for raw material resources efficiency, excluding recovery technologies of waste streams",en
701848,CO-CREATION-06-2017,"Policy-development in the age of big data: data-driven policy-making, policy-modelling and policy-implementation",en
702273,JTI-CS2-2016-CFP04-SYS-02-22,Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level,en
701924,MG-6.1-2016,"Innovative concepts, systems and services towards 'mobility as a service'",en
701828,FOF-07-2017,Integration of unconventional technologies for multi-material processing into manufacturing systems,en
702017,EE-14-2016-2017,Construction skills,en
702033,FETHPC-01-2016,Co-design of HPC systems and applications,en
701809,BIOTEC-05-2017,Microbial platforms for CO2-reuse processes in the low-carbon economy,en
701739,ERC-2017-COG,ERC Consolidator Grant,en
702199,BBI-2016-R05,Advanced biomaterials for smart food packaging,en
702048,IMI2-2015-06-04,Development of an outcomes-focused data platform to empower policy makers and clinicians to optimize care for patients with hematologic malignancies,en
701770,CIP-01-2016-2017,"Prevention, detection, response and mitigation of the combination of physical and cyber threats to the critical infrastructure of Europe.",en
702192,ECSEL-2016-2,ECSEL Key Applications and Essential Technologies (IA),en
701776,SEC-07-FCT-2016-2017,"Human Factor for the Prevention, Investigation, and Mitigation of criminal and terrorist acts",en
701913,MSCA-COFUND-2016,"Co-funding of regional, national and international programmes",en
701916,MG-4.5-2016,New ways of supporting development and implementation of neighbourhood-level and urban-district-level transport innovations,en
702163,IMI2-2015-07-06,COORDINATION AND SUPPORT ACTIONS (CSA) FOR THE BIG DATA FOR BETTER OUTCOMES PROGRAMME,en
701948,EINFRA-21-2017,Platform-driven e-infrastructure innovation,en
701982,EE-24-2016-2017,Making the energy efficiency market investible,en
701839,DS-02-2016,"Cyber Security for SMEs, local public administration and Individuals",en
701970,INNOSUP-01-2016-2017,Cluster facilitated projects for new industrial value chains,en
701782,SEC-16-BES-2017,"Through-foliage detection, including in the outermost regions of the EU",en
701872,SwafS-03-2016-2017,Support to research organisations to implement gender equality plans,en
702078,SFS-38-2016,"Impulsivity and compulsivity and the link with nutrition, lifestyle and the socio-economic environment",en
701687,INNOSUP-02-2016,European SME innovation Associate - pilot,en
702190,ECSEL-2016-1,ECSEL Key Applications and Essential technologies (RIA),en
701967,SC5-01-2016-2017,Exploiting the added value of climate services,en
701921,MG-5.1-2016,Networked and efficient logistics clusters,en
701827,FOF-06-2017,New product functionalities through advanced surface manufacturing processes for mass production,en
701800,NMBP-04-2017,Architectured /Advanced material concepts for intelligent bulk material structures,en
701775,SEC-06-FCT-2016,Developing a comprehensive approach to violent radicalization in the EU from early understanding to improving protection,en
701735,ERC-2017-STG,ERC Starting Grant,en
701738,ERC-2017-ADG,ERC Advanced Grant,en
702424,SGA-FET-GRAPHENE-2017,Graphene FET Flagship core project,en
701938,MG-2.3-2016,New and improved transport concepts in waterborne transport,en
702103,SFS-31-2016,Farming for tomorrow - developing an enabling environment for resilient and sustainable agricultural systems,en
701737,ERC-2016-ADG,ERC Advanced Grant,en
702061,RUR-07-2016,Resource-efficient and profitable industrial crops on marginal land,en
700837,INFRADEV-02-2016,Preparatory Phase and support to early phase of ESFRI projects,en
700379,LCE-31-2016-2017,Social Sciences and Humanities Support for the Energy Union,en
700355,RUR-10-2016-2017,Thematic Networks compiling knowledge ready for practice,en
700507,INNOSUP-05-2016-2017,Peer learning of innovation agencies,en
700804,SC1-PM-11-2016-2017,Clinical research on regenerative medicine,en
700800,ERC-2016-COG,ERC Consolidator Grant,en
700210,ERC-PoC-2016,ERC-Proof of Concept-2016,en
700799,INFRADEV-03-2016-2017,Individual support to ESFRI and other world-class research infrastructures,en
700023,SMEInst-11-2016-2017,"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials",en
700802,INFRAINNOV-02-2016,Support to Technological Infrastructures,en
700009,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme,en
700815,SC1-PM-21-2016,Implementation research for scaling-up of evidence based innovations and good practice in Europe and low- and middle-income countries,en
700840,INFRADEV-04-2016,European Open Science Cloud for Research,en
700460,SFS-24-2016,Reinforcing international cooperation on sustainable aquaculture production with countries from South-East Asia,en
700664,MSCA-RISE-2016,Research and Innovation Staff Exchange,en
700616,ICT-25-2016-2017,Advanced robot capabilities research and take-up,en
700612,LCE-02-2016,"Demonstration of smart grid, storage and system integration technologies with increasing share of renewables: distribution system",en
700286,EE-07-2016-2017,Behavioural change toward energy efficiency through ICT,en
700245,REV-INEQUAL-07-2016,"Spatial justice, social cohesion and territorial inequalities",en
700020,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility,en
700006,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system,en
699995,SMEInst-05-2016-2017,Supporting innovative SMEs in the healthcare biotechnology sector,en
699992,SMEInst-02-2016-2017,Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs,en
700413,BG-02-2016-2017,High value-added specialised vessel concepts enabling more efficient servicing of emerging coastal and offshore activities,en
701969,SC1-PM-03-2017,Diagnostic characterisation of rare diseases,en
701989,SC1-PM-10-2017,Comparing the effectiveness of existing healthcare interventions in the adult population,en
702214,BBI-2016-F01,Valorisation of by-products or waste-streams from the food processing industry into high added-value products for market applications,en
701952,INFRAIA-02-2017,Integrating Activities for Starting Communities,en
702076,SFS-22-2017,"Smart fisheries technologies for an efficient, compliant and environmentally friendly fishing sector",en
669053,IMI2-2015-03-03,Linking Clinical Neuropsychiatry and Quantitative Neurobiology,en
669055,IMI2-2015-03-04,The Consistency Approach to Quality Control in Vaccine Manufacture,en
665460,ERC-StG-2015,ERC Starting Grant,en
665452,MG-1.9-2015,International cooperation in aeronautics with Canada,en
665377,ECSEL-01-2014,ECSEL Key Applications and Essential Technologies (RIA),en
700093,FOF-03-2016,Zero-defect strategies at system level for multi-stage manufacturing in production lines,en
664874,SCC-01-2014,"Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects",en
664855,LCE-09-2015,Large scale energy storage,en
664729,SFS-02b-2015,Assessing soil-improving cropping systems,en
664854,LCE-08-2014,Local / small-scale storage,en
664784,ERC-CoG-2014,ERC Consolidator Grant,en
665060,EeB-07-2015,New tools and methodologies to reduce the gap between predicted and actual energy performances at the level of buildings and blocks of buildings,en
664760,BG-09-2014,Acoustic and imaging technologies,en
664767,BG-15-2014,European polar research cooperation,en
664579,SC5-06-2014,Biodiversity and ecosystem services: drivers of change and causalities,en
664563,WATER-1a-2014,First application and market replication,en
664555,WASTE-1-2014,Moving towards a circular economy through industrial symbiosis,en
665184,PHC-14-2015,New therapies for rare diseases,en
665055,EeB-02-2014,Adaptable envelopes integrated in building refurbishment projects,en
665048,FoF-09-2015,ICT Innovation for Manufacturing SMEs (I4MS),en
704398,SU-ICT-01-2018,Dynamic countering of cyber-attacks,en
704380,ICT-10-2019-2020,Robotics Core Technology,en
704391,MSCA-COFUND-2018,"Co-funding of regional, national and international programmes",en
704396,SwafS-16-2019,Ethics of Innovation: the challenge of new interaction modes,en
704431,LC-SC3-CC-1-2018-2019-2020,Social Sciences and Humanities (SSH) aspects of the Clean-Energy Transition,en
704461,SU-FCT02-2018-2019-2020,Technologies to enhance the fight against crime and terrorism,en
704408,INNOSUP-06-2018,Supporting experimentation in innovation agencies,en
704401,ERC-2018-ADG,ERC Advanced Grant,en
704375,SFS-38-2018,Highly efficient management of soil quality and land resources,en
704456,SU-BES01-2018-2019-2020,"Human factors, and social, societal, and organisational aspects of border and external security",en
704446,NFRP-2018-10,Encouraging innovation in nuclear safety for the benefit of European citizen,en
704390,SC5-12-2018,EU-India water co-operation,en
704301,SESAR-ER4-10-2019,ATM Role in Intermodal Transport,en
703314,WF-01-2018,Widening Fellowships,en
703913,EIC-FTI-2018-2020,Fast Track to Innovation (FTI),en
703667,H2020-MSCA-RR-2018,MSCA for researchers at risk,en
703765,DT-ICT-02-2018,Robotics - Digital Innovation Hubs (DIH),en
703773,ICT-25-2018-2020,Interactive Technologies,en
702834,WIDESPREAD-01-2018-2019,Teaming Phase 2,en
702827,WIDESPREAD-04-2019,ERA Chairs,en
702918,DT-NMBP-03-2019,Open Innovation Test Beds for nano-enabled surfaces and membranes (IA),en
702948,DT-FOF-12-2019,Handling systems for flexible materials (RIA),en
702916,LC-NMBP-29-2019,Materials for non-battery based energy storage (RIA),en
702915,NMBP-15-2019,"Safe by design, from science to regulation: metrics and main sectors (RIA)",en
702975,DT-ICT-08-2019,Agricultural digital integration platforms,en
702909,LC-NMBP-32-2019,"Smart materials, systems and structures for energy harvesting (RIA)",en
702853,RUR-15-2018-2019-2020,Thematic networks compiling knowledge ready for practice,en
702927,BIOTEC-02-2019,Boosting the efficiency of photosynthesis (RIA),en
702899,DT-NMBP-18-2019,"Materials, manufacturing processes and devices for organic and large area electronics (IA)",en
702893,DT-NMBP-08-2019,Real-time nano-characterisation technologies (RIA),en
700589,SC5-10-2016,Multi-stakeholder dialogue platform to promote innovation with nature to address societal challenges,en
700587,SC5-13-2016-2017,New solutions for sustainable production of raw materials,en
700116,FOF-11-2016,Digital automation,en
699958,FCH-02.5-2015,Development of technology to separate hydrogen from low-concentration hydrogen streams,en
699951,BBI.VC1.F1,"From lignocellulosic feedstock to advanced bio-based chemicals, materials or ethanol",en
700073,BBI.VC2.R5-2015,Practices increasing effectiveness of forest management,en
700743,BIOTEC-02-2016,Bioconversion of non-agricultural waste into biomolecules for industrial applications,en
700741,BIOTEC-03-2016,Microbial chassis platforms with optimized metabolic pathways for industrial innovations through systems biology,en
700742,NMBP-02-2016,Advanced Materials for Power Electronics based on wide bandgap semiconductor devices technology,en
700705,INFRASUPP-01-2016,Policy and international cooperation measures for research infrastructures,en
700652,SC5-15-2016-2017,Raw materials policy support actions,en
700644,COMPET-2-2016,Maturing satellite communication technologies,en
700618,SESAR.IR-VLD.Wave1-11-2015,Advanced DCB,en
700167,EE-08-2016,Socio-economic research on consumer's behaviour related to energy efficiency,en
699978,JTI-CS2-2015-CFP02-ENG-04-05,Powerplant Shaft Dynamic and associated damping system,en
700389,ICT-03-2016,SSI - Smart System Integration,en
665222,INNOSUP-1-2015,Cluster faciltated projects for new value chains,en
665463,ERC-SUPPORT-2014,ERC Support for novel ways to highlight the work funded by the ERC and reach out a wider public.,en
665390,FCH-02.5-2014,Innovative fuel cell systems at intermediate power range for distributed combined heat and power generation,en
669155,JTI-CS2-2014-CFP01-SYS-02-02,"Modular, scalable, multi-function, high power density power controller for electric taxi",en
665295,ERC-ADG-2014,ERC Advanced Grant,en
665464,FTIPilot-1-2015,Fast Track to Innovation Pilot,en
669167,JTI-CS2-2014-CFP01-SYS-02-08,Embedded sensors technology for air quality measurement,en
665462,ERC-ADG-2015,ERC Advanced Grant,en
